"","cluster1","cluster2","type"
"1","4","11","Significantly enriched"
"2","5","10","Significantly enriched"
"3","1","19","Significantly enriched"
"4","9","19","Significantly enriched"
"5","10","18","Significantly enriched"
"6","6","11","Significantly enriched"
"7","5","15","Significantly enriched"
"8","5","7","Significantly depleted"
"9","5","6","Significantly depleted"
"10","5","11","Significantly depleted"
"11","5","17","Significantly depleted"
"12","3","6","Significantly depleted"
"13","1","2","Significantly depleted"
"14","4","6","Significantly depleted"
"15","4","15","Significantly depleted"
