4914,79600
7412,11199
57159,162979
26206,8120
51592,2071
9731,171558
7741,388951
10524,63874
6732,3843
51552,79094
1387,5627
96764,116092
11162,373863
27185,441519
501,3914
135293,56943
121504,8216
14113,3788
63976,854504
3183,341405
3184,2752
4173,64144
4609,154790
7298,25751
50807,51450
6207,7012
53358,64855
8452,148398
5914,56265
91404,285429
286077,77113
11064,100287042
8834,84095
54606,256223
7159,8715
51363,148156
5347,80004
5684,56154
85456,2395
327,55967
489,29968
11338,8800
2305,79818
5886,10560
204,320706
51646,64591
4851,440023
4697,2273
10865,266812
7862,64342
7514,10062
8667,5720
5611,852883
10557,319876
26986,6011
56947,19349
152206,3761
51105,8178
7321,5187
861,752014
84656,152877
7321,114803
9733,281794
81631,440021
9519,1638
51690,729020
741,474382
22004,3094
10642,3679
3840,2770
441518,64799
3043,51477
79228,1043
66489,26275
8038,64927
56455,64288
4851,4015
10383,9219
221154,1066
8767,1132
80321,84787
6204,12799
64210,280660
3364,3107
90480,3593
5928,15122
9454,307947
10567,83641
4343,6297
5340,10135
10808,22626
6813,3804
5885,2730
238799,58490
4580,25960
23164,51699
54954,3700
3608,25989
64375,84064
4281,339230
4654,115362
64105,221409
56399,79823
11244,850620
5052,91
51259,10569
246100,10765
155030,114132
9093,9107
84333,18091
11098,9853
80209,6981
2629,8743
4914,9256
226,831
1956,299625
4734,175643
57586,972
8452,136853
51562,72117
54487,51639
112,10365
7532,3032
3858,54925
23193,93759
224,6635
29890,160140
54862,1907
2066,84779
8290,835395
76499,853757
7533,148867
3751,23437
7532,854513
11224,2719
22985,26584
7189,30001
55113,6606
414236,22865
4036,84197
6626,1822
25898,853664
116115,3339
8773,40336
8567,71752
9531,90134
80781,338917
6144,27247
23603,4515
2065,2913
10785,327
8368,29119
8452,56816
23390,100363904
4538,118490
8570,158747
84264,55150
8936,6943
5931,339344
3611,94194
9412,285966
64601,122402
7086,6327
548593,15361
10048,24957
83540,55204
288,360504
63875,54059
23281,3674
23233,90462
54842,285464
8777,20403
8737,93349
2017,2963
9777,334932
5111,7760
9021,56994
6840,25879
3329,503543
6464,79153
6144,115557
3351,493753
80218,57125
3007,79598
1195,113675
5133,201725
3187,25974
4174,10979
8805,26980
10919,161424
1612,2564
3705,1444
9869,6477
64333,55204
7415,18393
9939,51406
4281,6770
10042,55686
23411,219293
523,23074
80013,11165
9793,786
209354,121227
93986,7597
3854,79582
207,147172
3831,16443
1445,176
51428,25125
351,54851
10992,9709
386681,246100
2065,10270
1514,391356
10980,81619
67809,21667
8554,6137
10769,518
2959,5396
5966,56061
6233,74365
54987,13175
10114,80174
5714,63922
10320,83446
26100,851073
51026,850376
17187,5859
28318,9446
221960,853301
22803,57465
9913,11006
10413,6873
50814,3945
6319,84872
9846,9110
375791,55061
55226,54496
29978,344658
34,9356
1289,57109
70767,55345
1213,654320
7917,5500
22913,1854
23704,55778
57144,10912
17886,353143
83734,3646
2042,10568
4210,852004
330,7066
55357,81570
399823,548596
64783,853664
2286,118430
6227,200942
4899,805
7185,116179
57010,2787
154,10178
8065,84186
10431,54101
5604,392862
4791,23325
6632,26205
8503,100128588
23509,23480
14251,10307
6844,27301
23513,851568
57154,3269
10190,9779
6955,8573
55914,5422
351,4615
1052,27158
6868,23646
79723,51311
672,373856
7184,83766
8454,57605
140838,79864
6732,928
22995,386681
2099,127253
8887,55711
6626,3987
11064,607
4914,2703350
8453,23263
3064,2785
7052,338321
10161,117274
4620,57619
5893,83641
5885,23345
8336,25012
2052,29922
853168,5763
6749,8412
4650,6346
170463,500666
3320,2547
23411,55766
5152,2035
84168,10026
5089,653602
8928,6491
81628,8812
811,353376
6386,55816
9255,78998
9789,6804
9306,740
57630,4237
6229,2044
7283,398174
55723,6047
11193,27292
11224,80224
1654,84103
81631,51700
20174,9451
79594,2177
26994,9673
54550,17248
56652,51303
6597,7518
2885,338599
6176,9521
4628,136371
10206,3638
79596,54981
10576,296480
5582,3229
4824,8189
4645,83607
67200,7775
4863,54107
56647,3708
8454,2239
18005,359710
2316,27309
5245,20980
5356,220323
8290,10755
9319,90624
140730,55558
22924,8225
164,22152
2130,79692
894,442038
118429,25849
7188,286077
22916,64393
355,414236
7704,9162
51439,340527
90624,511736
84318,43808
6853,118487
134466,653214
79139,6929
10381,123803
132158,25827
227613,6134
3190,84081
351,54927
6327,290447
353332,26100
29979,6518
6775,18951
921,33505
64591,3064
116412,55732
10989,55055
6632,7326
7704,100341057
79890,2859
3099,399335
4363,688272
57905,406952
23770,12055
3009,1122
4609,151254
10921,388698
2185,84553
79711,84336
1857,1120
10575,22899
3159,9480
6812,79089
83900,51455
10694,83744
9641,337795
667,1583
9169,139818
382010,27434
9657,2222
51318,9016
8940,272
1203,64648
55832,22194
5879,9632
54749,9353
284001,4951
8739,3001
7024,2232
8440,149603
8504,81928
5716,51726
285148,3434
10768,4714
5211,4000
221120,781
126328,7126
56951,2770
79443,8546
445,4170
9662,285498
2821,275
5525,23256
202051,9588
79840,245965
4086,1489079
51340,1350
3661,116071
8878,221322
6161,100502766
2771,54751
112483,11132
9188,853681
80321,401145
58509,58485
8317,2983
60,6370
3428,4158
1537,144193
23064,73158
6780,3714
5501,12675
153241,9699
10432,293481
51735,53346
7251,253128
11064,81839
23788,24099
1107,11344
3811,10312
9045,55116
9817,386682
8443,6302
23092,2744
23450,80036
129880,254268
6229,85236
55759,500040
55207,390594
9146,5318
29979,81618
18759,284443
10969,170762
77579,109711
1956,9600
595,7188
123970,115024
353133,26285
23197,57613
311,3656
85439,16969
1655,1482
2029,100363737
3039,115677
3030,395839
23636,72935
55735,85317
54793,4062
8099,85479
29796,84132
9219,10948
155348,65250
155348,4839
708,85445
51256,24145
596,1472
2475,123591
1984,51022
6293,3595
9349,677833
51755,4056
58490,5995
81,9321
269582,2937
6132,151354
4221,255193
26380,30523
7329,2739
4088,26156
8940,23285
6652,94275
5921,26936
3308,116985
9555,3820
2648,84699
5929,317772
4790,375607
640,824422
6134,10516
23138,12571
23029,55188
1639,1736
11151,55319
10273,29991
6732,4608
5764,6658
7134,360213
74237,2623
2730,100507703
83729,10721
70470,3030
22919,91137
4676,84326
7150,66498
22907,8513
23640,541472
91746,375444
3838,853488
5689,580
2923,54977
8945,2318
55507,11237
4734,65056
55015,65084
553115,851942
79865,147912
2046,16561
6117,4318
84811,1609
9672,51804
1739,23218
6129,441520
5140,2239
3107,255027
5275,3670
3843,85363
51726,254910
2010,153572
1152,3338
6223,54225
3191,67849
29979,81611
5747,147744
22839,10827
57819,60563
219990,259287
871,140767
20416,7327
5284,201514
55692,6390
2595,215
5394,100049587
6129,23143
6432,27301
26813,474343
2475,112476
8454,57649
5971,50618
25942,4904
55832,54978
64682,85301
285464,51339
10273,479
3299,8816
55787,10204
81576,51186
5080,8050
1650,81569
25,6167
7403,646
51010,100360573
2597,50937
9040,114212
23431,3067
6159,19053
7162,6450
708,790955
146705,51567
23429,40336
7468,18073
4093,3815
4998,9439
84902,83896
1656,4160
64175,90113
156,50862
5702,8195
8139,60487
51103,4281
56949,81565
55697,644890
11266,389524
6193,51944
55622,106504
203068,6025
1018,285668
10482,259215
26270,29722
23028,114038
57616,2189
23368,26999
3428,160824
55885,22906
64146,51524
10456,100125989
585,284390
7251,6704
10971,7201
868,377047
7052,131890
4192,6950
10915,121274
11252,55293
5147,4007
8543,6732
9512,389123
203328,3991
5577,84689
2064,79661
64979,281832
8886,10110
7133,5290
1152,100502766
2054,79693
27185,2631
23451,56952
196472,5592
3269,80725
25827,311545
3959,6396
54708,51365
2060,22137
27245,79845
3014,9761
7716,850871
67444,51450
57110,56468
1029,79908
8772,4929
51742,53560
16480,68202
998,7045
2969,6121
7157,1366
11281,23138
54507,100287902
22919,9640
6904,4715
10146,2833
92342,6614
4115,100365196
79839,12313
63891,11152
29102,25959
8554,5610
4862,56267
5033,23216
4343,57613
7316,408248
2810,1410
8454,10253
6118,11156
5566,4074
7532,284805
7083,3140
5015,70052
79943,92293
8513,824493
93624,76688
7421,12151
11100,199223
351,10154
84759,13823
1778,25023
116173,83992
74355,10324
55584,83850
51619,53822
4005,1656
821,54955
54715,60678
3107,20907
6909,8115
11338,390151
7307,145376
6382,8875
23054,72114
93145,3704
6184,79016
6133,5031
1191,4589
3158,80217
4809,18537
3326,55721
27352,2572
6202,22847
819,6620
8841,11014
2060,3581
8364,3687
6519,79642
157285,3784
55284,170384
1207,522
330,54977
353332,9456
5575,5719
11017,79192
5052,56470
7756,171546
146853,1497087
5610,51365
10521,13644
59349,79697
1869,9191
10078,6752
10827,116986
6167,6505
8841,401145
29966,51015
5565,55672
84296,51742
3691,821
58220,342898
7871,26403
7307,3077530
1499,23398
10109,4644
9468,8844
3428,374403
5701,51170
81847,5935
5441,7105
23332,24642
11273,171140
51202,5438
158399,156110
2267,29896
3301,1635
23363,1071
54148,8658
85359,17710
6605,6539
1665,113835
51477,79070
54878,773
22144,93649
5782,8546
80153,1617
2099,3267
7791,28956
6651,57380
6232,1191
5886,18626
5581,257144
7341,90407
90381,1606
10527,100287428
10270,6627
6202,78294
10079,54492
23216,863
10376,55764
3416,131377
25807,375057
1385,9823
11235,92799
9513,2873
10806,1050
29844,497048
23097,8906
8085,80143
128240,26119
128977,5042
1677,11920
5720,125113
243819,90268
23007,49855
220988,238880
3326,100287902
81851,321
10155,54842
988,6695
9099,8884
2335,2121
84464,401447
6733,5476
7329,320191
64750,56210
6944,23788
10015,9656
5359,90134
387119,339983
672,84465
7158,100507703
219854,4352
11335,5279
9260,165082
2335,55860
94234,55700
6613,80127
84902,114792
51082,4961526
78987,10916
51547,64319
5581,79778
5001,63875
10236,83607
3184,2679
55740,401541
55284,81844
9053,6631
92344,189
6201,116563
65008,27418
6426,284402
1604,7498
5917,84304
9240,635
166,9112
136051,116337
2203,283638
5315,23500
64949,55131
9039,220108
8569,57748
90410,7200
28755,60682
53938,65166
5698,51427
92483,71861
51317,6573
137392,2523
817,25940
2961,9745
23405,3321
23533,64425
10084,51754
8773,835411
1017,2035
11311,114112
3717,854114
6189,26834
4549,493861
6637,19386
9150,84717
3868,83401
4089,121536
6434,5831
55824,150000
285672,17274
56334,112937
1650,144233
84707,4784
9987,727676
26270,9627
6139,58844
79888,2703399
4582,29781
6156,139604
6576,407610
1655,829
4680,22821
27033,100132979
116328,55149
7874,6915
221060,147923
27037,5158
54971,179554
93436,114907
6117,84296
2300,7089
1746,3151
4929,79000
1915,79959
790,852858
5151,89882
27966,8767
6193,23607
55929,100361818
51071,51400
69253,79600
10399,3502
51026,352954
55226,51103
8737,56246
51105,10172
8202,119391
9329,51234
84678,207
2908,4046
54478,6360
10845,170762
6205,83416
3309,8468
23031,255193
56897,54536
5432,9562
5971,23463
3921,12606
847,8484
4747,5493
10856,196527
7341,26115
9589,83766
159989,7762
5119,1434
1742,127933
10243,164312
65018,153684
18005,4663
7157,18711
3059,9972
2690,2697
3881,203076
4175,5080
11128,26251
11137,19357
2969,100090
4137,404672
9373,81617
10013,23122
23650,282991
6605,387103
7189,285498
7024,138162
9354,67333
4695,929
85291,8491
288,11819
4919,677841
1147,10985
4613,1938
9070,694
613,9124
9939,80303
6785,4846
5594,4887
10591,109241
51755,967
5331,54361
79797,729262
6188,80154
8452,6256
1994,270097
5588,4969
682,20226
64144,51400
6513,23338
93,157574
1933,50913
4217,23683
11198,57678
5579,3426
79026,57608
10959,16985
271981,64896
7030,852476
5520,1938
7316,5179
1108,51239
9463,536654
57727,3306
84701,79087
4215,892
5580,9200
10856,852309
7205,64241
50852,115106
1399,9990
4851,3710
8881,23507
586,27178
4734,6203
10111,854732
55183,72722
